id,part,scope,qty_per_kit,qty_for_10_kits,advertised_pack_options,target_pieces_per_pack,target_number_of_packs,purchase_url,link_type,listing_evidence_url,documentation_status,documentation_url,cad_status,choice_status,shipping_status,verified_lot_price,currency,verified_shipping_cost,verification_date,notes
K01,ESP32-S3 SuperMini ESP32-S3FH4R2,Core,1,10,1-10,10,1,https://www.aliexpress.com/item/1005012191736844.html,Candidate product listing,https://www.pricearchive.org/aliexpress.com/item/1005012191736844,Exact module drawing needed,https://docs.waveshare.com/ESP32-S3-Zero/Resources-And-Documents,Waveshare reference only; exact SuperMini library not verified,Unverified,Unverified,,,,2026-09-09,No purchase qualification. Select 10-piece option. Read purchasing-kit.md for compatibility and holds.
K02,INMP441 microphone breakout,Core,1,10,1/5/10,10,1,https://www.aliexpress.com/item/1005009006830769.html,Candidate product listing,https://www.pricearchive.org/aliexpress.com/item/1005009006830769,Chip datasheet only; module drawing needed,https://invensense.tdk.com/wp-content/uploads/2015/02/INMP441.pdf,Not verified,Unverified,Unverified,,,,2026-09-09,No purchase qualification. Select 10-piece option. Read purchasing-kit.md for compatibility and holds.
K03,PCM5102A DAC module,Core,1,10,1-10,10,1,https://www.aliexpress.com/item/1005010369195534.html,Candidate product listing,https://www.pricearchive.org/aliexpress.com/item/1005010369195534,Chip datasheet only; module drawing needed,https://www.ti.com/lit/ds/symlink/pcm5102a.pdf,Chip CAD on TI; module CAD not verified,Unverified,Unverified,,,,2026-09-09,No purchase qualification. Select 10-piece option. Read purchasing-kit.md for compatibility and holds.
K04,MAX98357A I2S amplifier module,Core,1,10,1/10,10,1,https://www.aliexpress.com/item/1005009759175798.html,Candidate product listing,https://www.pricearchive.org/aliexpress.com/item/1005009759175798,Chip datasheet only; confirm A suffix and module drawing,https://www.analog.com/en/products/MAX98357A.html,Chip CAD on ADI; Adafruit module CAD is reference only,Unverified,Unverified,,,,2026-09-09,No purchase qualification. Select 10-piece option. Read purchasing-kit.md for compatibility and holds.
K05,SSD1306 0.96 inch 128x64 4-pin I2C OLED,Core,1,10,10,10,1,https://www.aliexpress.com/item/1005008169257099.html,Candidate product listing,https://www.pricearchive.org/aliexpress.com/item/1005008169257099,Exact module drawing needed,,Not verified,Unverified,Unverified,,,,2026-09-09,No purchase qualification. Select 10-piece option. Read purchasing-kit.md for compatibility and holds.
K06,Bare EC11 encoder with push switch,Core,1,10,10,10,1,https://www.aliexpress.com/item/1005005239756119.html,Candidate product listing,https://www.pricearchive.org/aliexpress.com/item/1005005239756119,Exact MPN and seller drawing needed,,Generic EC11 cannot establish exact footprint,Unverified,Unverified,,,,2026-09-09,No purchase qualification. Select 10-piece option. Read purchasing-kit.md for compatibility and holds.
K07,Bare ALPS RKJXV1224005 joystick,Core,1,10,10-100,10,1,https://www.aliexpress.com/item/1005011995304794.html,Candidate product listing,https://www.pricearchive.org/aliexpress.com/item/1005011995304794,Exact MPN drawings available; seller identity and part match unverified,https://tech.alpsalpine.com/e/products/detail/RKJXV1224005/,Drawings saved; no verified native DipTrace or exact STEP,Unverified,Unverified,,,,2026-09-09,No purchase qualification. Select 10-piece option. Read purchasing-kit.md for compatibility and holds.
K08,MPU6050 GY-521 IMU breakout,Motion option included,1,10,10,10,1,https://www.aliexpress.com/item/1005011896641210.html,Candidate product listing,https://www.pricearchive.org/aliexpress.com/item/1005011896641210,Chip datasheet only; module drawing needed,https://product.tdk.com/system/files/dam/doc/product/sensor/mortion-inertial/imu/data_sheet/mpu-6000-datasheet1.pdf,Not verified for GY-521 lot,Unverified,Unverified,,,,2026-09-09,No purchase qualification. Select 10-piece option. Read purchasing-kit.md for compatibility and holds.
K09,VL53L0X direct I2C sensor breakout,Distance option included,1,10,1/10,10,1,https://www.aliexpress.com/item/1005010777247203.html,Candidate product listing,https://www.pricearchive.org/aliexpress.com/item/1005010777247203,Mixed variants; exact module drawing and interface needed,https://www.st.com/resource/en/datasheet/vl53l0x.pdf,Not verified for candidate module,Unverified,Unverified,,,,2026-09-09,No purchase qualification. Select 10-piece option. Read purchasing-kit.md for compatibility and holds.
K10,40mm round speaker 4 ohm 3W,Core,1,10,1/2/10,10,1,https://www.aliexpress.com/item/1005009533204416.html,Candidate product listing,https://www.pricearchive.org/aliexpress.com/item/1005009533204416,Full depth and mounting drawing needed,,Not verified,Unverified,Unverified,,,,2026-09-09,No purchase qualification. Select 10-piece option. Read purchasing-kit.md for compatibility and holds.
